Код,Медичний напрям,Захворювання,Область,Больница,Заявник,Спонсор,Фази,Стан,Стать,Вік пацієнтів
GTR001,Неврологія,Рецидивуючий ремітуючий розсіяний склероз.,Вінницька | Волинська | Дніпропетровська | Дніпропетровська | Донецька | Донецька | Донецька | Житомирська | Закарпатська | Запорізька | Івано-Франківська | Київська | Київська | Київська | Крим | Крим | Львівська | Львівська | Одеська | Полтавська | Харківська | Харківська | Черкаська | Чернигівська | Чернівецька,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | ""Волинська ОКЛ"", м. Луцьк | ""ОКЛ імені І.І. Мечнікова"", м. Дніпро | МЦ Дніпропетровської державної медичної академії, м. Дніпро | КЗ ""Донецьке обласне клінічне териториільне медичне об`єднання, м. Донецьк | КЗ ""МКЛ №4 імені І.К.Мацука"", м. Маріуполь | КЗ ""Центральна МКЛ №17"", м. Донецьк | КЗ ""ОКЛ імені О.Ф. Гербачевського"", м. Житомир | Обласний клінічний центр нейрохірургії та неврології, м. Ужгород | КЗ ""ОКЛ"" ЗОР, м. Запоріжжя | КЗ ""ОКЛ"", м. Івано-Франківськ | ДЗ ""ННЦ радіаційної медицини НАМН України"", м. Київ | КЗ ""МКЛ №4"", м. Київ | Центральний клінічний госпіталь Військово-медичного управління Служби Безпеки України, м. Київ | КРУ ""КТМУ ""Університетська клініка"", м. Сімферополь | КРУ ""КТМУ ""Університетська клініка"", м. Сімферополь | КЗ ""МКЛ №5"", м. Львів | КЗ ""ОКЛ"", м. Львів | Університетська клініка ОНМУ, м. Одеса | КЗ ""ОКЛ"", м. Полтава | КЗ ""ОКЛ"", м. Харків | ДЛПЗ ""Центральна клінічна лікарня Укрзалізниці"", м. Харків | КЗ ""ОКЛ"", м. Черкаси | КЗ ""ОКЛ"", м. Чернігів | КЗ ""Обласна психіатрична лікарня"", м. Чернівці","ТОВ ""Пі Ес Ай-Україна""","Сінтон Б.В., Нідерланди",3,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
331-10-231,Психіатрія,Гостра шизофренія.,Вінницька | Дніпропетровська | Дніпропетровська | Київська | Київська | Київська | Крим | Львівська | Харківська | Херсонська | Чернигівська,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | ""ОКЛ імені І.І. Мечнікова"", м. Дніпро | КЗ ""Клінічна психіатрична лікарня"", м. Дніпро | КЗ КОР ""Обласне психіатрично-наркологічне медичне об’єднання"", Київська область, смт. Глеваха, м. Київ | Психоневрологічна МКЛ №2, м. Київ | Територіальне медичне об’єднання ""Психіатрія"" у м.Києві, м. Київ | КРУ ""Клінічна психіатрична лікарня №1"", м. Сімферополь | КЗ ""Обласна клінічна психіатрична лікарня"", м. Львів | КЗ ""Обласна клінічна психіатрична лікарня №3"", м. Харків | КЗ ""Обласна психіатрична лікарня"", м. Херсон | КЗ ""Обласна психоневрологічна лікарня"", м. Чернігів","ПІІ ""Квінтайлс Україна""","Otsuka Pharmaceutical Development & Commercialization, Inc., United States",3,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
SMB-NAL-III-09-1,"Пульмонологія, Фтізіатрія",Муковісцидоз (Cystic fibrosis),Вінницька | Дніпропетровська | Дніпропетровська | Донецька | Запорізька | Київська | Київська | Крим | Луганська | Львівська | Одеська | Полтавська | Тернопільська | Чернівецька,"""Дитяча ОКЛ"", м. Вінниця | КЗ ""Дитяча МКЛ №2"", м. Дніпро | КЗ ""МКЛ №8"", м. Дніпро | КЗ ""Дитяча ОКЛ"", м. Донецьк | КЗ ""Дитяча ОКЛ"", м. Запоріжжя | ДЗ ""Інститут фтизіатрії і пульмонології імені Ф.Г. Яновського АМН України"", м. Київ | КЗ ""Дитяча МКЛ №1"", м. Київ | КРУ ""Дитяча клінічна лікарня"", м. Сімферополь | КЗ ""Дитяча ОКЛ"", м. Луганськ | КЗ ""Західноукраїнський спеціалізований дитячий медичний центр"", м. Львів | КЗ ""Дитяча ОКЛ"", м. Одеса | КЗ ""Дитяча ОКЛ"", м. Полтава | КЗ ""Університетська лікарня"", м. Тернопіль | КЗ ""Дитяча ОКЛ №2"", м. Чернівці","ТОВ ""Чілтерн Інтернешнл Україна""",Лабораториз СМБ С.А,3,Завершено КВ в Україні,будь-яка,"Малолітні (12-14 років), Неповнолітні (14-18 років), Молодші 18 років"
S 320.2.011,Кардіологія,гостра декомпенсована серцева недостатність,Волинська | Дніпропетровська | Івано-Франківська | Київська | Луганська | Одеська | Харківська,"КЗ ""Луцька МКЛ"", м. Луцьк | КЗ ""Клінічне об'єднання швидкої медичної допомоги"", м. Дніпро | КЗ ""Обласний клiнiчний кардіологічний диспансер"", м. Івано-Франківськ | КЗ ""МКЛ №1"", м. Київ | КЗ ""МКЛ №1"", м. Луганськ | КЗ ""МКЛ №3"", м. Одеса | КЗ ""МКЛ №27"", м. Харків","ПІІ ""Квінтайлс Україна""","Солвей Фармасьютікалз, Інк",2,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
FCZ- NIFUROZID - S /10 -11,Інфекційні хвороби,Гострі кишкові інфекції у дітей.,Дніпропетровська,"КЗ ""МКЛ №21 ім. проф. Є.Г. Попкової"", м. Дніпро","ТОВ ""ФК ""Здоров'я""",ТОВ Фармацевтична компанія Здоров’я,Інша,Завершено КВ в Україні,будь-яка,"Діти (2 роки - 11 років), Малолітні (12-14 років), Неповнолітні (14-18 років), Молодші 18 років"
ARQ 197-209,Онкологія,Недрібноклітинний рак легенів,Дніпропетровська | Дніпропетровська | Закарпатська | Київська | Київська | Львівська | Черкаська,"""Міська багатопрофільна лікарня №4"", м. Дніпро | КЗ ""Онкологічний диспансер"", м. Кривий Ріг | Ужгородська центральна МКЛ, м. Ужгород | ДЗ ""Інститут онкології АМН України"", м. Київ | Київський міський клінічний онкологічний центр, м. Київ | КЗ ""Обласний онкологічний центр"", м. Львів | КЗ ""Обласний онкологічний диспансер"", м. Черкаси","ТОВ ""Клінічні дослідження Айкон""","АрКюль, Інк (ArQule Inc.) США",2,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
MCI-196-E10,Нефрологія,Хронічна ниркова недостатність,Дніпропетровська | Житомирська | Закарпатська | Запорізька | Івано-Франківська | Київська | Київська | Київська | Миколаївська | Тернопільська | Харківська | Чернівецька,"""ОКЛ імені І.І. Мечнікова"", м. Дніпро | КЗ ""ОКЛ імені О.Ф. Гербачевського"", м. Житомир | Закарпатська ОКЛ імені Андрія Новака, м. Ужгород | КЗ ""ОКЛ"" ЗОР, м. Запоріжжя | КЗ ""ОКЛ"", м. Івано-Франківськ | ДЗ ""Інститут нефрології НАМН України"", м. Київ | КЗ ""ОКЛ"", м. Київ | Олександрівська клінічна лікарня, м. Київ | КЗ ""ОКЛ"", м. Миколаїв | КЗ ""Університетська лікарня"", м. Тернопіль | КЗ ""Обласний клінічний центр урології і нефрології ім. В.І. Шаповала"", м. Харків | КЗ ""ОКЛ"", м. Чернівці",і3 Інтернейшнл Лімітед,Mitsubishi Tanabe Pharma Corporation,3,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
VX11-509-102,Ревматологія,Ревматоїдний артрит.,Вінницька | Донецька | Донецька | Київська | Київська | Львівська | Одеська | Харківська,"""МКЛ №1"", м. Вінниця | ДЗ ""Інститут невідкладної і відновної хірургії імені В.К. Гусака НАМН України"", м. Донецьк | ННЛК ""Університетська клініка"" НМУ імені М. Горького, м. Донецьк | ДЗ ""ННЦ ""Інститут кардіології імені акад. М.Д. Стражеско НАМН України"", м. Київ | Олександрівська клінічна лікарня, м. Київ | КЗ ""МКЛ швидкої допомоги"", м. Львів | МЦ ОНМУ, м. Одеса | КЗ ""МКЛ №8"", м. Харків","ТОВ ""КЦР Україна""","Vertex Pharmaceuticals Incorporated., США",2,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
CSLCT-BIO-08-52,Гематологія,Хвороба фон Віллебранда,Дніпропетровська | Донецька | Львівська,"КЗ ""Дитяча ОКЛ"", м. Дніпро | ДЗ ""Інститут невідкладної і відновної хірургії імені В.К. Гусака НАМН України"", м. Донецьк | ДЗ ""Інститут патології крові та трансфузійної медицини АМН України"", м. Львів","ТОВ ""Парексел Україна""",СіЕсЕль Берінг ГмбХ (CSL Behring GmbH),3,Завершено КВ в Україні,будь-яка,"Новонароджені (до 27-го дня життя), Немовлята (з 28-го дня життя - 24 міс), Діти (2 роки - 11 років), Молодші 18 років"
FE 999905 CS07,Ендокринологія,ідіопатичний дефіцит гормону росту,Донецька | Донецька | Запорізька | Івано-Франківська | Київська | Київська | Одеська,"КЗ ""Дитяча ОКЛ"", м. Донецьк | КЗ ""Дитяча ОКЛ"", м. Донецьк | КЗ ""Дитяча ОКЛ"", м. Запоріжжя | КЗ ""Дитяча ОКЛ"", м. Івано-Франківськ | ДЗ ""Інститут ендокринології та обміну речовин імені В.П. Комісаренка АМН України"", м. Київ | НДСЛ ""Охматдит"", м. Київ | КЗ ""Дитяча ОКЛ"", м. Одеса","ТОВ ""Спрай Клінікал Траялз""",Ferring Pharmaceuticals A/S,3,Розпочато КВ в Україні,будь-яка,"Діти (2 роки - 11 років), Молодші 18 років"
ZN - MET-Т / phase ІІ /КБ № 2/ 03.12,Психіатрія,"синдром залежності, внаслідок вживання опіоїдів",Луганська,"КЗ ""Обласний наркологічний диспансер"", м. Луганськ","ТОВ ""ХФП ""Здоров'я народу""",ТОВ ХФП Здоров'я народу,Інша,Розпочато КВ в Україні,будь-яка,Дорослі (18-65 років)
ЗНЯТО IFM -MRMST/фаза 2/КБ №1/ 03.11,Хірургія,Стан після оперативних втручань з приводу гострого парапроктиту.,Дніпропетровська,"КЗ ""МКЛ №6"", м. Дніпро","КНВМП ""ІСНА""",КНВМП ІСНА,2,Знято з розгляду,будь-яка,Дорослі (18-65 років)
XM22-07,Онкологія,діти з пухлинами сімейства саркоми Юїнга або рабдоміосаркомою,Дніпропетровська | Донецька | Київська | Львівська | Харківська,"КЗ ""Дитяча ОКЛ"", м. Дніпро | КЗ ""Дитяча ОКЛ"", м. Донецьк | Національний інститут раку, м. Київ | КЗ ""Західноукраїнський спеціалізований дитячий медичний центр"", м. Львів | КЗ ""Дитяча ОКЛ"" , м. Харків","ТОВ ""Пі Ес Ай-Україна""","Меркле ГмбХ (Merckle GmbH), Німеччина",1,Завершено КВ в Україні,будь-яка,"Діти (2 роки - 11 років), Малолітні (12-14 років), Неповнолітні (14-18 років), Молодші 18 років"
Р01-07-24,Онкологія,Поширений рак млолочної залози,Дніпропетровська | Донецька | Закарпатська | Запорізька | Івано-Франківська | Київська | Львівська | Харківська | Черкаська,"КЗ ""Онкологічний диспансер"", м. Кривий Ріг | ККЗ ""Донецький обласний протипухлинний центр"", м. Донецьк | Закарпатський обласний клінічний онкологічний диспансер, м. Ужгород | Запорізький обласний клінічний онкологічний диспансер, м. Запоріжжя | КЗ ""Обласний клінічний онкологічний диспансер"", м. Івано-Франківськ | Київський міський клінічний онкологічний центр, м. Київ | КЗ ""Обласний онкологічний центр"", м. Львів | ДЗ ""Інститут медичної радіології імені С.П.Григор'єва НАМН України"", м. Харків | КЗ ""Обласний онкологічний диспансер"", м. Черкаси","ТОВ ""Інвентів Хелс Україна""","Луітпольд Фармасьютікалс, Інк. (Luitpold Pharmaceuticals, Inc.)",3,Завершено КВ в Україні,жіноча,Дорослі (18-65 років)
D1050229,Психіатрія,Шизофренія,Вінницька | Дніпропетровська | Донецька | Київська | Львівська | Одеська | Херсонська,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | ""ОКЛ імені І.І. Мечнікова"", м. Дніпро | КЗ ""Обласна клінічна психіатрична лікарня"", м. Донецьк | Територіальне медичне об’єднання ""Психіатрія"" у м.Києві, м. Київ | КЗ ""Обласна клінічна психіатрична лікарня"", м. Львів | КЗ ""Обласна клінічна психіатрична лікарня №1"", м. Одеса | КЗ ""Обласна психіатрична лікарня"", м. Херсон","ПІІ ""Квінтайлс Україна""",Sunovion Pharmaceuticals Inc. (Суновіон Фармасьютікалз Інк.),3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
"1218,43",Ендокринологія,цукровий діабет 2 типу,Запорізька | Запорізька | Київська | Луганська | Тернопільська | Харківська | Харківська | Харківська,"КЗ Центральна лікарня Орджонікідзівського району (м.Запоріжжя), м. Запоріжжя | Обласний клінічний ендокринологічний диспансер, м. Запоріжжя | ДЗ ""ННЦ радіаційної медицини НАМН України"", м. Київ | КЗ ""ОКЛ"", м. Луганськ | КЗ ""ОКЛ"", м. Тернопіль | ДЗ ""Національний інститут терапії імені Л.Т. Малої НАМН України"", м. Харків | КЗ ""МКЛ швидкої та невідкладної медичної допомоги імені О.І. Мещанінова"", м. Харків | КЗ ""ОКЛ"", м. Харків","ТОВ ""Ворлдвайд Клінікал Траілс Укр""","Boehringer Ingelheim RCV GmbH & Co KG, Austria/ Берінгер Інгельхайм РЦВГмбХ енд Ко КГ, Австрія",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
CV185-048,Кардіологія,Профілактика інсульту у пацієнтів з миготливою аритмією за умови неефективності чи неможливості призначення препаратів антагоністів вітаміну К.,Вінницька | Дніпропетровська | Донецька | Закарпатська | Київська | Київська | Київська | Київська | Харківська | Харківська | Харківська | Харківська | Харківська,"""МКЛ №1"", м. Вінниця | ""ОКЛ імені І.І. Мечнікова"", м. Дніпро | КЗ ""Центральна МКЛ №1"", м. Донецьк | Ужгородська центральна МКЛ, м. Ужгород | ДЗ ""Інститут геронтології ім. Д.Ф. Чеботарьова НАМН України"", м. Київ | ДЗ ""ННЦ ""Інститут кардіології імені акад. М.Д. Стражеско НАМН України"", м. Київ | КЗ ""МКЛ швидкої медичної допомоги, м. Київ | КЗ ""ОКЛ"", м. Київ | КЗ ""МКЛ №18"", м. Харків | КЗ ""МКЛ №25"", м. Харків | КЗ ""МКЛ №27"", м. Харків | КЗ ""МКЛ №8"", м. Харків | ДЛПЗ ""Центральна клінічна лікарня Укрзалізниці"", м. Харків",-,"Bristol-Myers Squibb International Corporation, Бельгія",3,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
NOOFEN/OI/U-11,Сексопатологія,Еректильна дисфункція психогенного ґенезу,Київська,"ДЗ ""Інститут урології АМН України"", м. Київ","ТОВ ""ОЛФА""",ТОВ Олфа,Інша,Завершено КВ в Україні,чоловіча,Дорослі (18-65 років)
NN8226-3613,Ревматологія,Ревматоїдний артрит,Вінницька | Вінницька | Вінницька | Вінницька | Донецька | Донецька | Донецька | Запорізька | Запорізька | Івано-Франківська | Київська | Київська | Луганська | Одеська | Полтавська | Харківська | Харківська,"""МКЛ №1"", м. Вінниця | ""ОКЛ ім. М.І. Пирогова"", м. Вінниця | Клініка Науково-дослідного інституту реабілітації інвалідів, м. Вінниця | МЦ ТОВ ""Хелс Клінік"", Медичний клінічний дослідницький центр, м. Вінниця | ДЗ ""Інститут невідкладної і відновної хірургії імені В.К. Гусака НАМН України"", м. Донецьк | КЗ ""Центральна МКЛ №1"", м. Донецьк | КЗ ""Центральна МКЛ №1"", м. Донецьк | КЗ ""МКЛ №1"", м. Запоріжжя | КЗ ""ОКЛ"" ЗОР, м. Запоріжжя | КЗ ""ОКЛ"", м. Івано-Франківськ | КНП ""КДЦ"" Деснянського району м. Києва, м. Київ | Олександрівська клінічна лікарня, м. Київ | КЗ ""ОКЛ"", м. Луганськ | КЗ ""МКЛ №9"", м. Одеса | КЗ ""ОКЛ"", м. Полтава | ДЗ ""Національний інститут терапії імені Л.Т. Малої НАМН України"", м. Харків | КЗ ""МКЛ №8"", м. Харків","ПІІ ""Квінтайлс Україна""",Novo Nordisk A/S (Denmark),2,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
